=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.30 00:25:12 =~=~=~=~=~=~=~=~=~=~=~=
Temperature: 25.65
Temperature: 25.64
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.64
Temperature: 25.63
Temperature: 25.63
Temperature: 25.64
Temperature: 25.62
Temperature: 25.63
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.62
0,25.62,35.00,9.38,100.00,40.00,0.100,375.31,0.00
1,25.62,35.00,9.38,100.00,40.00,0.100,375.31,0.00
2,25.62,35.00,9.38,100.00,40.00,0.100,375.00,0.00
3,25.62,35.00,9.38,100.00,40.00,0.100,375.00,0.00
4,25.63,35.00,9.37,100.00,40.00,0.100,374.69,0.00
5,25.65,35.00,9.35,100.00,40.00,0.100,374.06,0.00
6,25.65,35.00,9.35,100.00,40.00,0.100,374.06,0.00
7,25.67,35.00,9.33,100.00,40.00,0.100,373.12,0.00
8,25.68,35.00,9.32,100.00,40.00,0.100,372.81,0.00
9,25.70,35.00,9.30,100.00,40.00,0.100,372.19,0.00
10,25.72,35.00,9.28,100.00,40.00,0.100,371.25,0.00
11,25.73,35.00,9.27,100.00,40.00,0.100,370.62,0.00
12,25.75,35.00,9.25,100.00,40.00,0.100,370.00,0.00
13,25.77,35.00,9.23,100.00,40.00,0.100,369.06,0.00
14,25.80,35.00,9.20,100.00,40.00,0.100,368.12,0.00
15,25.83,35.00,9.17,100.00,40.00,0.100,366.88,0.00
16,25.85,35.00,9.15,100.00,40.00,0.100,365.94,0.00
17,25.87,35.00,9.13,100.00,40.00,0.100,365.31,0.00
18,25.90,35.00,9.10,100.00,40.00,0.100,364.06,0.00
19,25.92,35.00,9.08,100.00,40.00,0.100,363.12,0.00
20,25.95,35.00,9.05,100.00,40.00,0.100,362.19,0.00
21,25.98,35.00,9.02,100.00,40.00,0.100,360.94,0.00
22,26.00,35.00,9.00,100.00,40.00,0.100,360.00,0.00
23,26.04,35.00,8.96,100.00,40.00,0.100,358.44,0.00
24,26.06,35.00,8.94,100.00,40.00,0.100,357.50,0.00
25,26.09,35.00,8.91,100.00,40.00,0.100,356.25,0.00
26,26.13,35.00,8.87,100.00,40.00,0.100,354.69,0.00
27,26.13,35.00,8.87,100.00,40.00,0.100,354.69,0.00
28,26.16,35.00,8.84,100.00,40.00,0.100,353.44,0.00
29,26.20,35.00,8.80,100.00,40.00,0.100,351.88,0.00
30,26.23,35.00,8.77,100.00,40.00,0.100,350.62,0.00
31,26.26,35.00,8.74,100.00,40.00,0.100,349.69,0.00
32,26.30,35.00,8.70,100.00,40.00,0.100,348.12,0.00
33,26.32,35.00,8.68,100.00,40.00,0.100,347.19,0.00
34,26.34,35.00,8.66,100.00,40.00,0.100,346.25,0.00
35,26.39,35.00,8.61,100.00,40.00,0.100,344.38,0.00
36,26.42,35.00,8.58,100.00,40.00,0.100,343.12,0.00
37,26.46,35.00,8.54,100.00,40.00,0.100,341.56,0.00
38,26.50,35.00,8.50,100.00,40.00,0.100,340.00,0.00
39,26.52,35.00,8.48,100.00,40.00,0.100,339.38,0.00
40,26.50,35.00,8.50,100.00,40.00,0.100,340.00,0.00
41,26.57,35.00,8.43,100.00,40.00,0.100,337.19,0.00
42,26.60,35.00,8.40,100.00,40.00,0.100,335.94,0.00
43,26.63,35.00,8.37,100.00,40.00,0.100,334.69,0.00
44,26.63,35.00,8.37,100.00,40.00,0.100,334.69,0.00
45,26.70,35.00,8.30,100.00,40.00,0.100,332.19,0.00
46,26.74,35.00,8.26,100.00,40.00,0.100,330.31,0.00
47,26.76,35.00,8.24,100.00,40.00,0.100,329.69,0.00
48,26.78,35.00,8.22,100.00,40.00,0.100,328.75,0.00
49,26.79,35.00,8.21,100.00,40.00,0.100,328.44,0.00
50,26.84,35.00,8.16,100.00,40.00,0.100,326.56,0.00
51,26.89,35.00,8.11,100.00,40.00,0.100,324.38,0.00
52,26.94,35.00,8.06,100.00,40.00,0.100,322.50,0.00
53,26.97,35.00,8.03,100.00,40.00,0.100,321.25,0.00
54,26.98,35.00,8.02,100.00,40.00,0.100,320.62,0.00
55,27.07,35.00,7.93,100.00,40.00,0.100,317.19,0.00
56,27.10,35.00,7.90,100.00,40.00,0.100,315.94,0.00
57,27.14,35.00,7.86,100.00,40.00,0.100,314.38,0.00
58,27.17,35.00,7.83,100.00,40.00,0.100,313.12,0.00
59,27.21,35.00,7.79,100.00,40.00,0.100,311.56,0.00
60,27.23,35.00,7.77,100.00,40.00,0.100,310.62,0.00
