127,30.27,35.00,4.73,100.00,40.00
128,30.33,35.00,4.67,100.00,40.00
129,30.38,35.00,4.62,100.00,40.00
130,30.38,35.00,4.62,100.00,40.00
131,30.45,35.00,4.55,100.00,40.00
132,30.48,35.00,4.52,100.00,40.00
133,30.52,35.00,4.48,100.00,40.00
134,30.59,35.00,4.41,100.00,40.00
135,30.62,35.00,4.38,100.00,40.00
136,30.66,35.00,4.34,100.00,40.00
137,30.68,35.00,4.32,100.00,40.00
138,30.73,35.00,4.27,100.00,40.00
139,30.73,35.00,4.27,100.00,40.00
140,30.79,35.00,4.21,100.00,40.00
141,30.84,35.00,4.16,100.00,40.00
142,30.87,35.00,4.13,100.00,40.00
143,30.94,35.00,4.06,100.00,40.00
144,31.01,35.00,3.99,100.00,40.00
145,31.05,35.00,3.95,100.00,40.00
146,31.05,35.00,3.95,100.00,40.00
147,31.09,35.00,3.91,100.00,40.00
148,31.11,35.00,3.89,100.00,40.00
149,31.07,35.00,3.93,100.00,40.00
150,31.09,35.00,3.91,100.00,40.00
151,31.15,35.00,3.85,100.00,40.00
152,31.19,35.00,3.81,100.00,40.00
153,31.27,35.00,3.73,100.00,40.00
154,31.29,35.00,3.71,100.00,40.00
155,31.34,35.00,3.66,100.00,40.00
156,31.40,35.00,3.60,100.00,40.00
157,31.48,35.00,3.52,100.00,40.00
158,31.50,35.00,3.50,100.00,40.00
159,31.55,35.00,3.45,100.00,40.00
160,31.58,35.00,3.42,100.00,40.00
161,31.65,35.00,3.35,100.00,40.00
162,31.70,35.00,3.30,100.00,40.00
163,31.71,35.00,3.29,100.00,40.00
164,31.73,35.00,3.27,100.00,40.00
165,31.72,35.00,3.28,100.00,40.00
166,31.81,35.00,3.19,100.00,40.00
167,31.88,35.00,3.12,100.00,40.00
168,31.91,35.00,3.09,100.00,40.00
169,31.96,35.00,3.04,100.00,40.00
170,31.97,35.00,3.03,100.00,40.00
171,32.02,35.00,2.98,100.00,40.00
172,32.07,35.00,2.93,100.00,40.00
173,32.11,35.00,2.89,100.00,40.00
174,32.05,35.00,2.95,100.00,40.00
175,32.16,35.00,2.84,100.00,40.00
176,32.20,35.00,2.80,100.00,40.00
177,32.14,35.00,2.86,100.00,40.00
178,32.16,35.00,2.84,100.00,40.00
179,32.18,35.00,2.82,100.00,40.00
180,32.24,35.00,2.76,100.00,40.00
181,32.31,35.00,2.69,100.00,40.00
182,32.32,35.00,2.68,100.00,40.00
183,32.33,35.00,2.67,100.00,40.00
184,32.32,35.00,2.68,100.00,40.00
185,32.41,35.00,2.59,100.00,40.00
186,32.45,35.00,2.55,100.00,40.00
187,32.48,35.00,2.52,100.00,40.00
188,32.41,35.00,2.59,100.00,40.00
